date,description,amount
2024-12-01,SALARY DEPOSIT,3500.00
2024-12-01,RENT PAYMENT,-1500.00
2024-12-02,WHOLE FOODS MARKET,-85.32
2024-12-02,SHELL GAS STATION,-55.00
2024-12-03,NETFLIX,-15.99
2024-12-03,STARBUCKS,-6.50
2024-12-04,AMAZON.COM,-89.23
2024-12-05,CHIPOTLE,-12.45
2024-12-05,UBER,-18.50
2024-12-06,TARGET,-67.89
2024-12-07,CVS PHARMACY,-23.45
2024-12-08,ELECTRIC BILL,-120.00
2024-12-08,INTERNET BILL,-80.00
2024-12-09,GYM MEMBERSHIP,-50.00
2024-12-10,RESTAURANT DOWNTOWN,-45.00
2024-12-11,TRADER JOES,-72.50
2024-12-12,CHEVRON,-48.00
2024-12-13,DUNKIN DONUTS,-8.75
2024-12-14,SPOTIFY,-9.99
2024-12-15,INSURANCE PAYMENT,-250.00
2024-12-16,GROCERY STORE,-95.67
2024-12-17,MOVIE THEATER,-28.00
2024-12-18,PHARMACY,-34.50
2024-12-19,LUNCH RESTAURANT,-22.00
2024-12-20,GAS STATION,-52.00
2024-12-21,COFFEE SHOP,-7.25
2024-12-22,ONLINE SHOPPING,-156.78
2024-12-23,DINNER OUT,-68.90
2024-12-24,GROCERY SHOPPING,-112.45
2024-12-25,GIFT PURCHASE,-85.00
2024-12-26,WATER BILL,-45.00
2024-12-27,PHONE BILL,-65.00
2024-12-28,PARKING,-15.00
2024-12-29,LUNCH,-18.50
